order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,city,country,customer_segment,days_since_last_purchase,customer_tenure_days
1001,C001,2024-01-15,Electronics,Wireless Mouse,2,34.99,69.98,UPI,Pune,India,Regular,45,365
1002,C002,2024-01-16,Clothing,Cotton T-Shirt,3,24.99,74.97,Credit Card,Mumbai,India,VIP,12,540
1003,C003,2024-01-17,Home & Kitchen,Steel Bottle,1,29.99,29.99,Debit Card,Delhi,India,New,0,5
1004,C004,2024-01-18,Books,Python Programming,2,49.99,99.98,UPI,Bangalore,India,Regular,30,280
1005,C005,2024-01-19,Electronics,USB Hub,1,44.99,44.99,Net Banking,Pune,India,VIP,8,620
1006,C001,2024-01-20,Clothing,Denim Jacket,1,89.99,89.99,UPI,Pune,India,Regular,43,367
1007,C006,2024-01-21,Home & Kitchen,Coffee Maker,1,199.99,199.99,Credit Card,Chennai,India,VIP,5,700
1008,C007,2024-01-22,Books,Data Science Handbook,2,39.99,79.98,Debit Card,Hyderabad,India,New,0,2
1009,C008,2024-01-23,Electronics,Bluetooth Speaker,1,79.99,79.99,UPI,Pune,India,Regular,60,180
1010,C009,2024-01-24,Clothing,Formal Shirt,2,44.99,89.98,Net Banking,Mumbai,India,Regular,35,310
1011,C010,2024-01-25,Home & Kitchen,Air Purifier,1,299.99,299.99,Credit Card,Bangalore,India,VIP,3,800
1012,C011,2024-01-26,Books,Machine Learning Basics,1,54.99,54.99,UPI,Pune,India,New,0,1
1013,C001,2024-01-27,Electronics,Keyboard,1,129.99,129.99,Debit Card,Pune,India,Regular,41,369
1014,C012,2024-01-28,Clothing,Sports Shoes,1,149.99,149.99,Credit Card,Delhi,India,VIP,10,450
1015,C013,2024-01-29,Home & Kitchen,LED Lamp,2,39.99,79.98,UPI,Chennai,India,Regular,25,200
1016,C014,2024-02-01,Electronics,Web Camera,1,59.99,59.99,Net Banking,Mumbai,India,Regular,55,150
1017,C015,2024-02-02,Clothing,Wool Scarf,3,19.99,59.97,UPI,Pune,India,VIP,7,580
1018,C016,2024-02-03,Books,SQL Cookbook,1,44.99,44.99,Debit Card,Bangalore,India,New,0,3
1019,C017,2024-02-04,Home & Kitchen,Storage Organizer,2,34.99,69.98,Credit Card,Hyderabad,India,Regular,40,220
1020,C018,2024-02-05,Electronics,Smartwatch,1,249.99,249.99,UPI,Pune,India,VIP,2,900
1021,C019,2024-02-06,Clothing,Casual Shorts,2,29.99,59.98,Net Banking,Delhi,India,Regular,28,290
1022,C020,2024-02-07,Books,Deep Learning with Python,1,59.99,59.99,UPI,Chennai,India,New,0,7
1023,C002,2024-02-08,Electronics,Phone Case,2,19.99,39.98,Credit Card,Mumbai,India,VIP,10,542
1024,C021,2024-02-09,Home & Kitchen,Bamboo Cutting Board,1,24.99,24.99,Debit Card,Pune,India,Regular,50,130
1025,C022,2024-02-10,Clothing,Leather Belt,1,39.99,39.99,UPI,Bangalore,India,VIP,6,650
1026,C023,2024-02-11,Electronics,HDMI Cable,3,14.99,44.97,Net Banking,Mumbai,India,Regular,33,195
1027,C024,2024-02-12,Books,Statistics for Data Science,1,49.99,49.99,UPI,Pune,India,New,0,4
1028,C005,2024-02-13,Home & Kitchen,Indoor Plant Pot,2,22.99,45.98,Credit Card,Pune,India,VIP,6,622
1029,C025,2024-02-14,Clothing,Woolen Sweater,1,69.99,69.99,Debit Card,Delhi,India,Regular,38,240
1030,C026,2024-02-15,Electronics,Tablet Stand,1,34.99,34.99,UPI,Hyderabad,India,VIP,4,720
1031,C027,2024-02-16,Books,Algorithm Design Manual,1,74.99,74.99,Net Banking,Chennai,India,New,0,6
1032,C028,2024-02-17,Home & Kitchen,Glass Storage Set,1,44.99,44.99,UPI,Pune,India,Regular,48,170
1033,C006,2024-02-18,Electronics,Noise Cancelling Headphones,1,349.99,349.99,Credit Card,Chennai,India,VIP,3,702
1034,C005,2024-02-19,Clothing,Running Shoes,1,129.99,129.99,UPI,Pune,India,VIP,5,624
1035,C029,2024-02-20,Books,Python for Data Analysis,2,44.99,89.98,Debit Card,Bangalore,India,Regular,32,260
1036,C030,2024-02-21,Home & Kitchen,Wall Clock,1,29.99,29.99,UPI,Delhi,India,New,0,8
1037,C002,2024-02-22,Electronics,Wireless Charger,1,39.99,39.99,Credit Card,Mumbai,India,VIP,9,544
1038,C031,2024-02-23,Clothing,Cotton Saree,1,89.99,89.99,Net Banking,Pune,India,Regular,42,210
1039,C032,2024-02-24,Books,Storytelling with Data,1,34.99,34.99,UPI,Chennai,India,New,0,9
1040,C005,2024-02-25,Home & Kitchen,Electric Kettle,1,49.99,49.99,Debit Card,Pune,India,VIP,4,626
1041,C033,2024-02-26,Electronics,Portable SSD 1TB,1,129.99,129.99,UPI,Mumbai,India,Regular,20,340
1042,C034,2024-02-27,Clothing,Denim Shorts,2,34.99,69.98,Credit Card,Hyderabad,India,VIP,8,480
1043,C001,2024-02-28,Books,Clean Code,1,42.99,42.99,UPI,Pune,India,Regular,39,371
1044,C035,2024-02-29,Home & Kitchen,French Press,1,39.99,39.99,Debit Card,Bangalore,India,New,0,10
1045,C036,2024-03-01,Electronics,Gaming Mouse,1,79.99,79.99,UPI,Pune,India,Regular,55,100
1046,C037,2024-03-02,Clothing,Linen Shirt,2,54.99,109.98,Credit Card,Delhi,India,VIP,11,410
1047,C038,2024-03-03,Books,The Art of Statistics,1,34.99,34.99,Net Banking,Chennai,India,Regular,27,230
1048,C039,2024-03-04,Home & Kitchen,Stainless Steel Cookware Set,1,249.99,249.99,UPI,Pune,India,New,0,1
